year,month,rank,book_name,author,pub_by,pub_day,price,genre1,genre2,genre3,book_url
2001,7,1,누가 내 치즈를 옮겼을까?,스펜서 존슨 지음 / 이영진 옮김,진명출판사,2000-03-15,6300,자기계발,성공,성공학,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=226139
2001,7,2,부자 아빠 가난한 아빠 1,로버트 기요사키 / 샤론 레흐트 지음 | 형선호 옮김,민음인,2000-02-10,10800,경제경영,재테크/투자,재테크/투자 일반,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=220359
2001,7,3,겅호!,켄 블랜차드 /셀든 보울즈 지음 / 조천제 외 옮김,21세기북스,2001-01-30,7650,경제경영,[경제경영 사상가 20인],켄 블랜차드,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=263828
2001,7,4,프리에이전트의 시대,다니엘 핑크 지음 / 석기용 옮김,에코리브르,2004-12-20,16200,사회과학,사회학,사회학 일반,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=284044
2001,7,5,부자 아빠 가난한 아빠 2,로버트 기요사키 지음 / 안진환 옮김,민음인,2012-11-27,13500,경제경영,재테크/투자,재테크/투자 일반,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=231099
2001,7,6,펄떡이는 물고기처럼,스티븐 C. 런딘 외 지음 / 유영만 옮김,한언출판사,2000-11-06,8010,경제경영,기업 경영,조직/인력/성과관리,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=253483
2001,7,7,소유의 종말,제레미 리프킨 지음 / 이희재 옮김,민음사,2001-05-25,19800,사회과학,미래학,,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=278587
2001,7,8,프로페셔널의 조건,피터 드러커 지음 / 이재규 옮김,청림출판,2001-01-31,10800,경제경영,[경제경영 사상가 20인],피터 드러커,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=264182
2001,7,9,바보들은 항상 최선을 다했다고 말한다,Charles C. Manz 외 지음 / 이은숙 옮김,한언출판사,2001-06-01,8820,자기계발,성공,성공학,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=278565
2001,7,10,수요 공급 살인사건,마샬 제번스 지음 / 형선호 옮김,북앤월드(EYE),2001-06-25,8100,경제경영,경제학/경제일반,경제이야기,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=284406
